CODLINHA,NOMELINHA,CODVEICULO,NUMEROCARTAO,DATAUTILIZACAO,COMPLETENESS,CONSISTENCY,CONFORMITY
M0X,OP. CONTIGENCIA,,,14/11/55 09:01:59,60,20,50
L372J,,QXQ391,611208255,25-10-15 18:07:00,80,20,25
,OPER S/LINHA,780929,7984385n,21/04/69 21:17:01,80,20,25
,,,9,,20,0,25
,,HA287,,,20,20,25
,,79355,3108463,25-10-15 20:03:6,60,20,50
,B.ALTO/BOA VISTA,,63639A,20/12/81 07:24:05,60,20,25
,OPER S/LINHA,Z4Z149,,,40,20,0
,OP. CONTIGENCIA,KA605,04446747258,25-10-15 6:3:00,80,60,25
375,,5K077,,,40,20,25
ARA,OPER S/LINHA,,,30/04/88 10:17:00,60,40,50
000,OPER S/LINHA,,,30/12/56 00:19:09,60,60,50
,,,,,0,0,0
ON2,,JW652,3183990,08/07/40 00:06:07,80,0,100
7517,,07977,,25/10/15 07:54:54,60,20,50
OPC,OPER S/LINHA,,,25/10/15 19:56:09,60,60,50
,OPER S/LINHA,03054,5819,,60,40,50
,INTERB II ANTI H,,3165619,25-10-15 10:5:05,60,40,25
G0J,OPER S/LINHA,UK042,3165619,,80,20,75
7T2WD,OP. CONTIGENCIA,,3178998,,60,20,25
,OPER S/LINHA,56J1857,,25/10/15 17:04:04,60,40,25
,C.COMP/C.RASO,D9S139,3185838,30/12/93 21:08:47,80,20,50
,INTERBAIRROS IV,,3185838,05/02/56 09:09:02,60,20,50
0H,,96752Z,,25/10/15 18:38:46,60,20,25
000,TARUMÃ,03001,3185839,25-10-15 20:35:21,100,80,75
,JD. CENTAURO,GA167,,,40,40,25
,OPER S/LINHA,QK116I,3175404,,60,20,25
000,,98Z561,7m,25-10-15 01:47:4,80,40,25
,OPER S/LINHA,00010,,25-10-15 06:24:8,60,60,25
000,OPER S/LINHA,00010,,25/10/15 16:26:43,80,100,75
000,CABRAL / PORTÃO,41347,,25-10-15 15:9:57,80,60,50
,,2Z1966,,02/03/57 21:06:08,40,0,25
6,,BN405,,09/12/98 00:37:17,60,20,50
050,,,,25-10-15 20:9:05,40,40,25
000,OPER S/LINHA,Q92090,,08/02/44 00:08:48,80,60,50
,NILO PEÇANHA,,021522H,,40,20,0
,V. SANDRA,DB022,,02/09/54 22:50:00,60,40,50
,OPER S/LINHA,,3105158,02/10/28 20:00:59,60,20,50
EH84,OPER S/LINHA,,10006606,,60,20,25
,OP. CONTIGENCIA,14845,3105158,14/12/09 18:03:06,80,20,75
000,,,3105158,25-10-15 00:24:45,60,40,50
,OPER S/LINHA,48915,3122854,25/10/15 11:53:47,80,40,75
,,837729,,,20,0,0
,INTERBAIRROS IV,3F473P,,04/03/80 21:06:02,60,20,25
,,4C707U,6,,40,0,25
,STA.FEL/SCÂNDIDA,B0Z755I,406634784,25-10-15 07:31:0,80,40,25
000,,,3171293,,40,20,50
,OPER S/LINHA,,36119E,31/12/66 15:02:12,60,20,25
000,OPER S/LINHA,,643f,25/10/15 18:01:36,80,80,50
233,,,3138676,25-10-15 14:50:16,60,40,50
,,3D406,3138676,17/11/65 00:07:01,60,0,50
Y,,5E033,9I,25-10-15 21:27:09,80,20,0
2M7K,OPER S/LINHA,9RS447,3138676,25-10-15 3:02:03,100,40,25
OPC,,9HL466,,,40,20,25
,SÃO BRAZ,,3164859,16/10/22 15:00:59,60,20,50
4ICS,OPER S/LINHA,,28,19/09/76 00:11:04,80,20,50
,,,,,0,0,0
000,,08060,78807159465,25/10/15 15:59:43,80,60,75
646,INTERBAIRR II H,,3331206,25-10-15 20:8:00,80,60,50
050,BARREIRINHA,00023,,,60,60,50
,,989747,,25-10-15 00:10:01,40,20,0
,INTERBAIRROS IV,IG505,3317046,,60,20,50
373,OPER S/LINHA,,,25/11/21 09:00:25,60,40,50
000,,,4832817304954,03/03/82 00:05:24,60,20,50
000,,06043,15878987N,25-10-15 19:56:56,80,60,50
BE,OP. CONTIGENCIA,DN603,3197445,,80,40,50
OPC,,,3197445,,40,20,50
0,INTERB II ANTI H,Q5Z891,3197445,25/10/15 19:36:44,100,40,50
,,,,25-10-15 6:04:09,20,20,0
,RIO BONITO,,,,20,20,0
SHA6,OPER S/LINHA,09017,,25/10/15 16:54:04,80,60,50
617,,,3285126,,40,20,50
,OPER S/LINHA,02806,11604,,60,20,50
521,OPER S/LINHA,1G3021,,25/10/15 19:17:47,80,60,50
000,,03014,21b,25-10-15 8:49:43,80,60,50
020,,63221,,,40,20,50
OPC,OP. CONTIGENCIA,,53,25-10-15 22:00:14,80,80,50
000,,,3295822,,40,20,50
674,,,47935316S,,40,20,25
020,INTERBAIRR II H,GB603,,30/01/15 00:04:27,80,80,75
,,,,,0,0,0
,JÚLIO GRAF,31283,10017083,25-10-15 00:29:06,80,40,50
,,AB604,,,20,20,25
,OPER S/LINHA,,066310,01/03/48 10:01:08,60,20,50
,OPER S/LINHA,,3291380,25/10/15 15:27:33,60,40,50
M9E2O,FAZENDINH/PORTÃO,JA004,91587350z,,80,40,25
Q7F70,FAZENDINH/PORTÃO,58A2406,3291380,,80,20,25
G,,64720,,,40,0,25
,OP. CONTIGENCIA,,3190725,,40,20,25
000,OPER S/LINHA,,3191359,30/12/49 21:03:07,80,60,75
OPC,,,3191359,,40,20,50
DFG62,V. VERDE,,,25/10/15 22:20:51,60,40,25
Q5982,BARREIRINHA,RZ021,,22/05/79 21:36:11,80,20,50
000,,22430,,25/10/15 13:43:29,60,40,75
1,,OK583,,25-10-15 21:2:35,60,20,25
020,INTERBAIRR II H,LS2358,,30/05/73 00:01:56,80,60,50
DE,OPER S/LINHA,,310X,25-10-15 20:06:06,80,40,0
,,,36917,01/06/94 11:59:45,40,0,50
,JD.PARANAENSE,47529,,,40,20,25
63TA,JD.PARANAENSE,EA190,67845482,,80,40,50
,OPER S/LINHA,535150,18267033521635,,60,20,0
,BOM RETIRO / PUC,,8y,25/10/15 11:28:18,60,40,25
,C.RASO/CAIUÁ,,,04/08/51 19:08:05,40,20,25
000,,,3195024,25-10-15 23:8:0,60,40,50
,,GB600,,25/10/15 18:37:05,40,40,50
040,,GB600,09039,06/06/11 10:02:06,80,40,100
,INTERBAIRR II H,,01025087460,25-10-15 17:01:08,60,40,0
90,,,3273933,25-10-15 13:9:05,60,20,25
371,TRABALHADOR,,63,25/10/15 18:12:51,80,60,75
000,OPER S/LINHA,,178288419,30/12/05 20:00:01,80,60,75
,,HA025,65390922C,25-10-15 5:24:58,60,40,25
,,HA019,3278726,08/12/44 00:03:38,60,20,75
822,,AA017,3211984,25-10-15 00:03:21,80,60,75
,OP. CONTIGENCIA,08035,3211984,25/10/15 15:45:10,80,60,75
000,STA. INÊS,EA073,36026,03/10/66 05:06:09,100,60,100
,OPER S/LINHA,00036,3192747,25-10-15 14:37:13,80,60,50
4ODEN,OPER S/LINHA,00010,484965562,,80,40,50
000,GABINETO,MC851,,25-10-15 10:2:40,80,80,50
S597,SÃO BERNARDO,,,,40,20,0
8786,,BN612,,25-10-15 06:15:09,60,40,25
,,02108,5481453169N,,40,20,25
000,LONDRINA,09016,3249073,,80,60,75
,OPER S/LINHA,242755B,3291361,25-10-15 23:8:9,80,40,25
000,,IJ632,,30/08/39 20:40:30,60,20,75
000,OPER S/LINHA,,3291361,,60,60,50
684,,,3760541,,40,20,50
,OPER S/LINHA,09005,,25-10-15 00:15:02,60,60,25
,OPER S/LINHA,,3722,25/10/15 16:05:31,60,40,50
624,,,3231837,25-10-15 23:06:33,60,40,50
612,PORTÃO / CIC,HA013,3320528,08/04/81 12:54:35,100,80,100
870,OPER S/LINHA,,4470771032v,,60,40,25
000,OPER S/LINHA,8T007F,3315735,30/03/89 00:47:08,100,60,75
,SISTEMA ARAUCARIA,CP076,3235595,,60,20,50
,ALTO BOQUEIRÃO,C0O513C,3235595,25/10/15 16:44:49,80,40,50
4N,,LD046,,,40,0,25
,,HA030,,,20,20,25
,OPER S/LINHA,51621,,,40,20,25
,OPER S/LINHA,,3310651,26/11/75 00:06:07,60,20,50
000,CABRAL / PORTÃO,AU666,,,60,40,50
,OP. CONTIGENCIA,,9,08/11/80 00:02:03,60,20,50
,CENTENÁRIO/HAUER,,,25/10/15 08:20:51,40,40,25
,CENTENÁRIO/HAUER,,,05/11/47 08:36:08,40,20,25
000,OPER S/LINHA,KX240,3300813,25-10-15 16:07:37,100,80,75
,OPER S/LINHA,,1,,40,20,25
9S,OPER S/LINHA,,3300813,,60,20,25
9K93,OPER S/LINHA,09005,3284147,14/06/26 23:29:30,100,40,75
000,B.ALTO/BOA VISTA,03009,3284147,,80,60,75
,OPER S/LINHA,0I956V,52057733540B,,60,20,0
,JD. LUDOVICA,,,,20,20,0
5V,,HA022,,,40,20,25
030,BOSCH,196146,736,,80,40,50
1,J.MERCES/GUANABA,,,,40,20,0
000,OPER S/LINHA,,,07/10/46 15:28:42,60,60,50
96,OPER S/LINHA,99374,504890191,25/10/15 12:09:09,100,40,75
,,,,,0,0,0
000,OPER S/LINHA,,33941942326K,25/10/15 18:56:53,80,80,50
606,,,3257772,08/02/70 00:09:02,60,0,75
,OPER S/LINHA,KK228,,,40,20,25
O0NF,OPER S/LINHA,H70190F,,,60,20,0
,,,9486153349,,20,0,25
,OPER S/LINHA,,,,20,20,0
,,,9647,25-10-15 00:34:18,40,20,25
ARA,OPER S/LINHA,,2002N,25/10/15 19:04:29,80,60,50
,OPER S/LINHA,,,,20,20,0
SSP,INTERBAIRROS IV,2MW933,3198559,25/10/15 20:22:21,100,40,75
,,M0Q102,17399448N,,40,0,0
Q00,,12204,,25-10-15 23:9:11,60,20,50
0,INTERBAIRROS IV,,,25-10-15 22:39:46,60,40,0
3,,WD578,3223393,01/12/36 20:07:48,80,0,75
000,CAMPO ALEGRE,PJ0918,644133,,80,40,50
OPC,OPER S/LINHA,OK741G,3288145,,80,40,50
G,,,30990323214p,,40,0,0
,OPER S/LINHA,4N753,,,40,20,0
TSP,OPER S/LINHA,,3303732,25/10/15 20:18:12,80,60,75
TSQ,OPER S/LINHA,,5207512089x,,60,40,25
8L,OPER S/LINHA,0TY1037,3307561,25-10-15 14:07:16,100,40,25
,CENTENÁRIO/HAUER,DA020,,25/10/15 14:46:39,60,60,50
ID9Q5,CENTENÁRIO/HAUER,GW157,3307561,25/10/15 14:46:47,100,40,75
U,OPER S/LINHA,,338f,25-10-15 00:00:8,80,40,0
000,,849425,,30/12/47 21:31:06,60,20,50
654,,,32,25-10-15 06:48:07,60,40,50
OPC,TUBO ST QUITERIA,,3281281,,60,40,50
000,SAVÓIA,,3257960,,60,40,50
000,OPER S/LINHA,03014,3381886,25/10/15 20:28:22,100,100,100
000,,,3381886,25-10-15 00:50:1,60,40,50
,OPER S/LINHA,,776911223a,25/10/15 11:11:42,60,40,25
040,UMBARÁ,40547,,25-10-15 00:32:02,80,60,50
,,GA159,,,20,20,25
000,OPER S/LINHA,34478,,,60,60,50
,OPER S/LINHA,,,07/07/70 00:05:39,40,20,25
TXA,OPER S/LINHA,,3374915,30/09/63 00:02:05,80,40,75
OPC,,,5026l,25/10/15 07:09:18,60,40,50
77,OPER S/LINHA,09005,,25/10/15 10:58:10,80,60,50
,OP. CONTIGENCIA,,3374088,25/10/15 16:21:47,60,40,50
ARA,,00165,,,40,40,50
UX,ALTO BOQUEIRÃO,MN604,513190U,25/10/15 13:17:11,100,60,50
,,444906,31573567732,25-10-15 22:47:20,60,20,0
214,OPER S/LINHA,MD5687,,25/10/15 20:13:12,80,60,50
000,,BC912,12672426557G,,60,40,50
272,,,3378408,,40,20,50
IR,,WO896,3378604,25-10-15 23:17:6,80,20,50
,,,,25/10/15 10:52:18,20,20,25
,,,,,0,0,0
,,09024,3379294,,40,20,50
040,,,3349532,25/10/15 20:09:25,60,40,75
000,OPER S/LINHA,G00266,,,60,60,25
2N5E,OPER S/LINHA,0MV7546,3341865,29/11/44 05:05:07,100,20,50
176,OP. CONTIGENCIA,7DX656W,10040190,31/10/98 12:49:04,100,40,75
674,INTERB II ANTI H,LC020,3341963,30/06/43 00:02:08,100,60,100
U774,OPER S/LINHA,WN671,3352175,,80,20,50
000,OPER S/LINHA,6E412,,,60,60,25
,OPER S/LINHA,09018,815908026640,02/08/22 14:32:44,80,40,50
,INTERBAIRROS III,,,,20,20,0
000,,,3337521,25/10/15 20:12:52,60,40,75
71,OPER S/LINHA,,3335390,,60,20,25
,OPER S/LINHA,UB135,3335390,,60,20,50
,OPER S/LINHA,,,,20,20,0
216,,,9047714_,,40,20,25
K6,OPER S/LINHA,,3364997,25/10/15 11:46:50,80,40,50
000,INTERBAIRROS I H,05031,,25/10/15 20:43:02,80,80,75
7A8O,C.RASO/CAIUÁ,LJP2887,0104230537443,25-10-15 00:12:2,100,40,0
650,OPER S/LINHA,,27838,,60,40,50
,TUBO XAXIM,,277771,,40,20,25
,OPER S/LINHA,03014,1,,60,40,50
372,OPER S/LINHA,,,25-10-15 12:26:03,60,60,25
QQV,TERMINAL PINHEIRINHO,,,27/06/93 09:44:00,60,20,50
050,INTERBAIRROS V,JB301,3338529,,80,80,75
000,FAZENDINH/PORTÃO,FB580,,,60,40,50
000,OPER S/LINHA,09045,,25-10-15 22:31:54,80,100,50
GLC1,OPER S/LINHA,92793,10053196,25/10/15 17:07:33,100,40,75
L5W,OPER S/LINHA,BN610,,,60,40,50
,OPER S/LINHA,,3358930,,40,20,25
,OPER S/LINHA,67839,7807323590636,25/10/15 17:56:25,80,40,50
OPC,,,,,20,20,25
,MONTANA,LC4206,3386965,30/11/69 20:30:09,80,20,50
,,87960,6880157811,,40,0,50
916,OPER S/LINHA,,3373885,,60,40,50
XU,,03021,,,40,20,25
,FUTURAMA,,47409836,25-10-15 04:6:7,60,40,25
I,INTERBAIRROS IV,38B0548,,,60,20,0
,ABAETÉ,,3377216,,40,20,25
,OP. CONTIGENCIA,02404,,25-10-15 17:4:30,60,40,25
,RAPOSO TAVARES,BN402,7g,25-10-15 00:45:1,80,60,25
,,,3369248,25/10/15 14:05:25,40,20,50
,,NF652,3369248,,40,0,50
224,,SU426,3369248,,60,20,75
949F,,LJ326N,3369248,05/10/82 00:02:02,80,0,50
,,,,,0,0,0
OPC,OP. CONTIGENCIA,,,,40,60,25
000,,6BH484,1382940U,25/10/15 15:57:44,80,40,50
638,PINHEIRINHO,29532,,,60,60,50
,OPER S/LINHA,A5K578H,,,40,20,0
911,,52858,,25-10-15 00:49:8,60,40,50
,,RS255,3376910,25-10-15 18:01:8,60,20,50
000,OPER S/LINHA,,3376661,,60,60,50
ARA,,,,25-10-15 00:43:39,40,40,25
21S,TUBO S BERNADETE,,,25-10-15 13:01:09,60,40,25
000,,,1518608o,25-10-15 14:9:16,60,40,25
000,OPER S/LINHA,,3431889,25/10/15 06:12:21,80,80,75
,,IP719,,25/10/15 13:10:49,40,20,50
000,OPER S/LINHA,IEW4958,3444837,,80,60,50
,,1LE2328,3444837,08/05/91 05:08:08,60,0,50
503T,OPER S/LINHA,GKV830Q,,,60,20,0
972,C.RASO/CAIUÁ,DZ462,9818347598664a,25-10-15 21:54:3,100,60,50
,OPER S/LINHA,,3436112,,40,20,25
912ZB,OPER S/LINHA,13553,,13/11/04 00:58:50,80,20,50
,TRAMONTINA,6FN087M,35165p,06/11/17 23:53:17,80,20,25
,OPER S/LINHA,,,25-10-15 1:2:54,40,40,0
860,,,,25/10/15 17:03:38,40,40,50
000,INTERBAIRROS IV,NY240,,30/12/33 21:05:00,80,40,75
000,OPER S/LINHA,,,,40,60,25
F1A7,OP. CONTIGENCIA,,25330358,,60,20,25
011,OP. CONTIGENCIA,C7Z019,0619,25/10/95 16:38:05,100,40,75
,,JG805,3450250,,40,0,50
,,,051,30/12/29 23:50:01,40,0,50
,OPER S/LINHA,Z5D945,,25/10/15 10:57:26,60,40,25
000,,03041,3409500,25-10-15 2:49:01,80,60,75
,OPER S/LINHA,89642,,25/10/15 07:22:37,60,40,50
000,,,3427324,25/10/15 07:22:41,60,40,75
000,OPER S/LINHA,7KX5281,832783975,25-10-15 08:50:55,100,80,50
1K,OPER S/LINHA,BZW0098,3405734,10/06/09 09:08:57,100,20,50
,,JQ992,120,25/10/15 19:04:52,60,20,75
,BAIRRO NOVO A,,,25-10-15 6:5:06,40,40,0
030,STA. FELICIDADE,03783,,25-10-15 07:04:53,80,60,50
2IP8R,OPER S/LINHA,,318227314253,25/10/15 16:24:14,80,40,25
,,,,,0,0,0
MT,INTERBAIRROS V,478909,6515461,,80,20,25
4QH6,V. VELHA,,9613,,60,20,25
,OPER S/LINHA,,,25-10-15 00:03:0,40,40,0
,OPER S/LINHA,,1324584967031Q,25-10-15 23:8:20,60,40,0
170,OPER S/LINHA,,831934m,,60,40,25
,OPER S/LINHA,,,20/09/67 00:59:57,40,20,25
9,,42762,3432729,25-10-15 3:8:1,80,20,50
84VB,OPER S/LINHA,,3431305,,60,20,25
000,,,3431108,,40,20,50
535,,77044,,28/01/20 00:05:05,60,20,75
5,OSTERNACK/BOQ.,,69147452j,25/10/15 19:11:33,80,40,25
,RAPOSO TAVARES,EA193,,02/11/96 21:09:29,60,40,50
,,23O4725,3434423,,40,0,25
,,,58682509762K,25/10/15 14:41:15,40,20,25
3,OPER S/LINHA,50X0166,3430296,31/04/31 00:33:09,100,20,50
58,,98M233B,,,40,0,0
,,,,,0,0,0
000,OPER S/LINHA,,3444602,07/12/98 14:02:42,80,60,75
000,C.COMPRIDO/CIC,,,04/11/91 00:09:02,60,40,50
,RAPOSO TAVARES,,3455531,07/09/48 23:05:44,60,20,50
,OPER S/LINHA,,,25/10/15 10:25:26,40,40,25
000,STA. FELICIDADE,383177,,,60,40,25
,,HA291,306793,,40,20,50
9M40,,,3403864,25/10/15 22:07:50,60,20,50
000,SISTEMA ARAUCARIA,,0261647606323p,25/10/15 19:05:57,80,60,50
I,OPER S/LINHA,716937,,,60,20,0
,,9C399P,6w,,40,0,0
ARA,V. ESPERANÇA,,9,25/10/15 18:16:54,80,60,75
78L,OPER S/LINHA,3S863L,,30/10/27 08:29:09,80,20,50
,OPER S/LINHA,06003,,,40,40,25
,,09024,3449252,25/10/15 07:38:46,60,40,75
,OPER S/LINHA,55586H,,25/10/15 19:15:05,60,40,25
000,,,,,20,20,25
,OPER S/LINHA,JC315,3440875,,60,40,50
000,,JC313,4084332293655,25/10/15 11:23:45,80,60,75
000,OPER S/LINHA,98S214,,25-10-15 3:3:07,80,80,25
000,OPER S/LINHA,,,,40,60,25
000,,CCJ685,,25/10/15 18:26:59,60,40,50
,,63859,,25-10-15 20:04:6,40,20,25
,OPER S/LINHA,WA377,,05/01/68 00:44:25,60,20,50
8,OPER S/LINHA,,3452078,25-10-15 20:58:02,80,40,25
924,,50B1756,3452078,25-10-15 14:26:9,80,40,50
8E,,BW334,,,40,0,25
,OPER S/LINHA,,479834,,40,20,25
0,OPER S/LINHA,,,,40,20,0
,,04010,3425992,,40,20,50
ARA,,8ZQ777N,,,40,20,25
000,OPER S/LINHA,90133,,,60,60,50
166,,,48,,40,20,50
,TUBO ST QUITERIA,M930251,3421504,25/10/15 13:22:40,80,40,50
,PALOTINOS,,,,20,20,0
000,,,486,25/10/15 08:53:16,60,40,75
366,OPER S/LINHA,,,25-10-15 00:53:13,60,60,25
000,OPER S/LINHA,,,29/05/56 10:01:04,60,60,50
5072,,HA011,,25-10-15 17:1:05,60,40,25
,RIO BONITO,XJ795,,,40,20,25
,UBERABA,18656,3392456,25-10-15 2:42:4,80,40,50
674,,00994,,,40,40,50
F,INTERBAIRROS IV,,3391645,,60,20,25
000,,09005,262370945318_,,60,40,50
826,INTERBAIRROS III,,,25-10-15 18:16:09,60,60,25
050,VITÓRIA RÉGIA,HA285,,25-10-15 22:3:1,80,80,50
,VITÓRIA RÉGIA,HA285,,02/03/67 00:02:02,60,40,50
,,,3409901,25-10-15 00:04:5,40,20,25
OPC,,,3451483,25-10-15 2:03:06,60,40,50
822,,6YA995,,31/07/12 21:43:06,60,20,50
G1B3,,,88J,,40,0,0
,AUGUSTA,97077,0475433500x,25/10/15 10:26:55,80,40,50
,FAZENDINH/PORTÃO,,3472822,25/10/15 11:47:14,60,40,50
OPC,INTERBAIRROS IV,GB600,7205Z,25/10/15 22:19:23,100,80,75
,,,3475629,02/05/80 07:09:05,40,0,50
000,,01024,,,40,40,50
Q62,CABRAL / PORTÃO,,3464500,25/10/15 20:28:20,80,40,75
,OP. CONTIGENCIA,,15751181S,,40,20,0
,OPER S/LINHA,289273F,5002450248630,25/10/15 20:28:27,80,40,25
63JA2,OPER S/LINHA,15981,3464500,,80,20,50
,,TX716,3458799,,40,0,50
906,,,899664260631Y,,40,0,25
000,OPER S/LINHA,DU610,,25-10-15 18:09:2,80,80,50
000,,,862516496643,25/10/15 15:46:21,60,40,50
,OPER S/LINHA,,2466757,,40,20,25
777,,03009,4822244U,25/10/15 19:59:51,80,60,75
6E8,V. VELHA,,25723,,60,20,50
,,,3399105,25-10-15 20:04:55,40,20,25
1,,08170,,25-10-15 00:27:27,60,20,25
000,,,3399105,25-10-15 00:10:41,60,40,50
99X73,CANAL BELÉM,09066,8Q,,80,40,25
,OPER S/LINHA,,,06/06/96 00:07:07,40,20,25
R97D,OPER S/LINHA,JS108,3208692686,25-10-15 7:03:01,100,40,50
JGOC,PIRATINI/BR476,33939,,,60,20,25
,IGUAPE I,EA175,3456716,,60,40,50
,,V07339,3446532,20/08/60 08:04:22,60,0,50
R,ACRÓPOLE,,,05/02/96 14:09:55,60,20,25
NK,,6F333,3511573,30/11/74 03:08:30,80,0,50
,,F100134,2,06/06/92 20:06:01,60,0,50
,,GA157,3511573,25/10/15 07:55:56,60,40,75
000,,,3507375,25/10/15 20:23:14,60,40,75
,TUBO XAXIM,24113,3477533,20/12/60 00:01:46,80,20,75
020,PAINEIRAS,,3477533,25/10/15 09:51:28,80,60,75
972,,,157388,25/10/15 21:31:01,60,40,75
,,,3505063,30/03/98 10:15:07,40,0,50
,V. VERDE,,,,20,20,0
34644,OPER S/LINHA,06543,8287237,25-10-15 13:0:08,100,40,50
000,,2O950,,,40,20,25
654,,,,25-10-15 02:6:39,40,40,25
640,OPER S/LINHA,GA174,42531500462,,80,60,50
,INTERB II ANTI H,03001,,25-10-15 10:19:41,60,60,25
,OP. CONTIGENCIA,,82668301K,25/10/15 18:37:15,60,40,25
,OPER S/LINHA,,,,20,20,0
E642,OPER S/LINHA,,,02/02/59 00:08:01,60,20,25
,,I97921,,,20,0,0
050,,GB605,,25-10-15 05:59:09,60,60,50
OPC,OPER S/LINHA,GR126,3492213,,80,60,75
6MF5,,,3489152,25-10-15 22:15:38,60,20,25
,,29E3609,877757700,25-10-15 06:07:00,60,20,25
370,,LC011,10059748,01/12/35 21:14:22,80,40,100
59H1,SISTEMA ARAUCARIA,,3499930,,60,20,25
ARA,,634306,3499930,25/10/15 13:02:35,80,40,75
,OPER S/LINHA,,543436,25-10-15 21:00:01,60,40,25
5,,,,25-10-15 19:4:20,40,20,0
972,,MC861,3497727,25-10-15 20:38:8,80,60,75
,RIO BONITO/CIC,HB606,9t,25-10-15 03:40:13,80,60,25
000,,08059,64455,,60,40,75
366,,19902,,25-10-15 00:4:2,60,40,50
472,UBERABA,62821,3497453,01/07/50 22:01:00,100,60,100
06FQ,TARUMÃ,MN401,094224,25/10/15 07:21:06,100,60,75
J4625,,,,25-10-15 12:04:20,40,20,0
000,OPER S/LINHA,PW852,,25-10-15 18:06:8,80,80,50
020,OPER S/LINHA,,20,25/10/15 16:49:14,80,60,75
TPH,,,3541131,25-10-15 19:47:12,60,40,50
,OPER S/LINHA,,3541131,25/10/15 07:15:27,60,40,50
D28Z,OPER S/LINHA,,4V,,60,20,0
000,OPER S/LINHA,00072,93469,12/09/42 22:05:01,100,80,100
000,OPER S/LINHA,7C429,,12/11/70 20:56:46,80,60,50
,OP. CONTIGENCIA,64956,5543055108174,,60,20,25
,,,,,0,0,0
911,CENTENÁRIO/HAUER,DA029,73280142,25-10-15 07:01:08,100,80,75
,OPER S/LINHA,31717,3539477,25/10/15 16:06:18,80,40,75
P6,ACRÓPOLE,SO405,3545276,20/11/23 20:04:57,100,20,75
XW7U,ACRÓPOLE,69628,,25/10/15 07:34:56,80,40,50
7ZX3,OPER S/LINHA,11086,,,60,20,25
,INTERBAIRR II H,FT569,,,40,20,25
91,OPER S/LINHA,85167Q,,25-10-15 17:09:24,80,40,0
020,OPER S/LINHA,DB022,9676477155h,25-10-15 15:54:02,100,80,50
000,OPER S/LINHA,,327_,25/10/15 18:13:45,80,80,50
44,OP. CONTIGENCIA,DJ591,5,25-10-15 00:34:01,100,40,50
828,C.COMP/C.RASO,30557L,5229825b,25-10-15 2:06:2,100,80,25
684,OP. CONTIGENCIA,17783,3519285,,80,40,75
,,,4706019067S,25-10-15 19:35:26,40,20,0
,OPER S/LINHA,,1509301,25-10-15 23:24:54,60,40,25
,OPER S/LINHA,14857,,25/10/15 09:46:29,60,40,50
87U,OP. CONTIGENCIA,AC282,85792n,25-10-15 00:35:52,100,60,50
,OPER S/LINHA,133564X,10067056,31/07/28 20:48:00,80,20,50
,,ED971F,,25-10-15 21:06:3,40,20,0
MB76,,,74353998,25-10-15 16:32:35,60,20,25
912,JOSÉ CULPI,,,25/10/15 12:14:22,60,80,50
9,OPER S/LINHA,LT537,3510447,,80,20,50
0RC,INTERBAIRROS IV,,3508005,,60,20,50
,,100960,0,25-10-15 00:49:4,60,20,25
2,V. VELHA,DLA604,75474719925m,,80,20,0
0Q3G2,V. VELHA,77797,11,25-10-15 19:8:39,100,40,50
OPC,OPER S/LINHA,03058,,,60,60,50
PO87,,,69736219478,,40,0,0
,CABRAL / OSÓRIO,,6297A,25/10/15 07:20:31,60,40,25
000,OPER S/LINHA,4VK9490,,,60,60,25
,,ZG513,,30/10/81 00:42:06,40,0,50
OPC,,,,25/10/15 19:09:13,40,40,50
000,OP. CONTIGENCIA,,75016714873Z,30/03/17 01:51:00,80,40,50
,,,3494324,,20,0,25
,,ZCL672H,,25/10/15 16:45:06,40,20,25
040,OPER S/LINHA,03006,,25-10-15 00:02:0,80,80,50
050,INTERBAIRROS V,,10067452,25/10/15 18:20:18,80,80,75
050,OPER S/LINHA,Z33617,10067452,25-10-15 8:54:55,100,60,50
H7SB,PORTO BELO,JA015,4668401,,80,40,50
8I3,BARREIRINHA,JC313,,07/10/33 00:07:52,80,40,75
000,OP. CONTIGENCIA,AC933,,25-10-15 5:41:09,80,80,50
,,8O377,3489119,25/10/15 21:34:52,60,20,50
000,OPER S/LINHA,,58502254,,60,60,50
,,3028903,,25/10/15 19:55:19,40,20,25
4783,OP. CONTIGENCIA,KYK756,3536119,,80,20,25
39OY7,OPER S/LINHA,MH999,42296333,,80,20,50
KUPY,OPER S/LINHA,ML607,,,60,20,25
870,SÃO BERNARDO,,,25-10-15 12:8:24,60,60,25
211,,08063,,,40,40,50
,,AC002,58,25-10-15 06:17:9,60,40,50
,OPER S/LINHA,,,25-10-15 00:9:03,40,40,0
,OP. CONTIGENCIA,08060,1,25-10-15 04:37:8,80,60,50
617,,22648,,,40,20,50
,OPER S/LINHA,,283874492d,,40,20,0
G008,,17825,,12/10/77 00:25:26,60,0,50
,,0P2594,010,,40,0,25
995E4,,03014,,25-10-15 00:36:6,60,40,25
,,,3532528,25-10-15 22:09:50,40,20,25
684,OPER S/LINHA,05045,3534993,25-10-15 12:8:14,100,80,75
,,05287B,,25-10-15 18:39:0,40,20,0
,BAIRRO NOVO B,76744R,3510549,25-10-15 00:55:01,80,40,25
,BAIRRO NOVO B,,,25-10-15 0:09:05,40,40,0
658,OPER S/LINHA,V4F136,3525012,,80,40,50
,B.ALTO/STA.CA,,4,25-10-15 21:05:59,60,40,25
524,,TN683G,163615,25/10/15 22:25:37,80,20,75
